Tresaith beach (Aberporth),Tresaith beach (Aberporth),Newport Sands (Newport),Newport Sands (Newport),Fairbourne beach (Barmouth),Poppit Sands (Cardigan),W of Ynyslas dunes (Aberdyfi),S Morfa Dyffryn (Harlech),S Morfa Dyffryn (Harlech),Beach near Borth Coast Guard Station (Aberdyfi),S Tywyn beach (Aberdyfi),S Tywyn beach (Aberdyfi),S Tywyn beach (Aberdyfi),N of Llanaber (shore) (Barmouth),N of Llanaber (shore) (Barmouth),Mochras Lagoon (Harlech),Cwm-yr-Eglwys (Newport),Craig y Gwbert (Cardigan),Cwm-yr-Eglwys (Newport),SW of Gilfach-yr-Halen (Aberaeron),SW Cardigan Island shore (Cardigan),Rheidol and Ystwyth estuaries (Aberystwyth),Pen-y-bal (Newport),NW Cardigan Island (Cardigan),W Ceibwr Bay (Cardigan),Trwyn Carreg-ddu (Cardigan),S Morfa Dyffryn (Harlech),Llanrhystud (Aberystwyth),Newport (Newport),W Llanina Point (Aberaeron),W Llanina Point (Aberaeron),Harlech beach (Harlech),"Coronation Drive, Gwbert (Cardigan)",S of Llanon (Aberaeron),Aberaeron estuary (Aberaeron),Fairbourne beach (Barmouth),E Aberporth (Aberporth),Sarn Cynfelyn (Aberystwyth),Cardigan (upstream of cattle market) (Cardigan),Ceibwr Bay (Cardigan),Broad Water (Aberdyfi),Broad Water (Aberdyfi),Broad Water (Aberdyfi),Broad Water (Aberdyfi),E of Webley Hotel (Cardigan),E of Webley Hotel (Cardigan),N St Dogmaels slipway (Cardigan),N of Llanaber (shore) (Barmouth),N of Llanaber (shore) (Barmouth),Harlech beach (Harlech)
-,-,Net - 2-3 children,-,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,1 child,-,Net - 2-3 children,-,-,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,1 child,-,-,-,-,Net - 2-3 children,Net - More than 3 children,Net - 2-3 children,-,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,-,Net - More than 3 children,1 child,Net - 2-3 children,-,Net - 2-3 children,Net - 2-3 children,Net - More than 3 children,1 child,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children,1 child,-,-,Net - 2-3 children,-,1 child,1 child,Net - 2-3 children,Net - 2-3 children,Net - 2-3 children
5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,19 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929,5 January 1929
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral
-,No,-,-,No,-,No,Yes,-,-,-,-,-,No,No,No,-,-,-,-,-,-,-,-,No,-,-,-,-,-,-,-,-,Yes,No,No,-,No,-,-,Yes,-,-,-,-,-,-,-,-,-
20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,20 February 1942,21 February 1942,22 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,21 February 1942,22 February 1942,12 March 1942
Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral
No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Purity_Degradation,Harm_Care,Harm_Care,Purity_Degradation,Harm_Care,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Purity_Degradation,Harm_Care,Fairness_Cheating,Harm_Care,Loyal_betrayal,Authority_Subversion,Harm_Care,Harm_Care,Purity_Degradation,Harm_Care,Fairness_Cheating,Fairness_Cheating,Harm_Care,Fairness_Cheating,Purity_Degradation,Fairness_Cheating,Purity_Degradation,Authority_Subversion,Fairness_Cheating,Harm_Care,Fairness_Cheating,Harm_Care,Loyal_betrayal,Harm_Care,Harm_Care,Harm_Care,Harm_Care,Fairness_Cheating,Fairness_Cheating,Purity_Degradation,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Fairness_Cheating,Harm_Care,Purity_Degradation,Harm_Care,Purity_Degradation,Fairness_Cheating,Fairness_Cheating
No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
nan,BAN HONG LEONG BUILDING,AZ @ PAYA LEBAR,nan,nan,ENTERPRISE HUB,nan,BRAS BASAH COMPLEX,nan,nan,INT'L PLAZA,nan,UBI TECHPARK,OCBC CENTRE,HOCK SWEE HILL,TONG LEE BUILDING BLOCK A,HIGH ST PLAZA,SKYPARK RESIDENCES,nan,nan,nan,ANCHORVALE ISLES,nan,nan,nan,nan,nan,STRATUM,APOLLO CENTRE,INTERNATIONAL PLAZA,THE CONTRUCTION HOUSE,nan,FRANKEL ESTATE,NEE SOON CENTRAL MEADOWS,NORTH LINK BUILDING,ANG MO KIO DRIVING CIRCUIT,nan,KITCHENER COMPLEX,nan,INTERNATIONAL PLAZA,UNITY CENTRE,SCCCI BUILDING,SPRING GROVE,THE SIEMENS CENTRE,NORTH VIEW BIZHUB,nan,KATONG SHPG CTR,BEDOK INDUSTRIAL PARK E,MACTECH INDUSTRIAL BUILDING,INTERNATIONAL PLAZA
No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No
SUMMER NAIL PARLOUR,SHARON SAM & ASSOCIATES,SAFAR RAMLAN,SRI KARUMBAYIRAM PTE. LTD.,SOPHIE SAURAT & BRIGITTE FAUVAGE TRANSLATION ASSOCIATE,SYSTEM MATRIX DISTRIBUTION,STYLE EVOLUTION LLP,SR COMMUNICATIONS PTE. LTD.,SECURIEVER INVESTIGATION SERVICES,SEB TECHNOLOGIES PTE. LTD.,SKY CAR AIR CONDITIONING TRADING,SUNSHINE MANAGEMENT CORPORATION PRIVATE LIMITED,SMWA TRAINING ACADEMY (LTD.),SIYAMANI ENGINEERING PTE. LTD.,SEAFOOD 98 PTE LTD,SINGTHAI TRAVEL SERVICES PTE LTD,SNC CLEANING ENTERPRISE,SIVAMANI MINIMART PTE. LTD.,SEAWIN SHIPPING PTE. LTD.,SC MANAGEMENT & CONSULTANCY SERVICES,SEW HENG CLEANING SERVICE,SAI VIDHYA TRADING PTE. LTD.,SOON LEE ORNAMATAL WORKS,ST HOUSE OF MARKETING,SHOP OF TITBITS,S.I.S.C.A  DECOR,SIMPLYECO,SWIP KAGYOU,SPORTS MERCHANDISE PTE LTD,SUNFOLWER PTE. LTD.,SAIRA PTE. LTD.,STAR TREK TRADING ENTERPRISE,SINGAPORE CURRICULUM DEVELOPMENT CENTRE,S 2 SQUARE,SIN EE HUAT CHICKEN STALL,SOUTH EAST AGENCY,SQUEAKY CLEAN ENZYME,STERLING GLOBAL PTE. LTD.,SPEARGLOBE PTE. LTD.,SAID NASI PADANG,SPR PRODUCTION SERVICES,SCRATCHWORKZ,SECURE WATER PARTNERS PTE. LTD.,SINGAPORE RHINO FUND INVESTMENT&MANAGEMENT PTE. LTD.,SEAPAL SHIPPING SERVICES,STALFORD LEARNING CENTRE (BUKIT BATOK) PTE. LTD.,SENNETT CAPITAL LLP,SOOL TRADING LLP,SOCTECH SINGAPORE PTE. LTD.,SOON SIN HOUSEHOLD GOODS AND TRADING COMPANY
GEN24_2709,GEN24_4308,GEN24_4024,GEN24_1763,GEN24_1236,GEN24_3225,GEN24_1229,GEN24_3540,GEN24_4230,GEN24_3043,GEN24_2831,GEN24_1877,GEN24_2275,GEN24_3487,GEN24_3212,GEN24_1063,GEN24_4313,GEN24_2665,GEN24_1301,GEN24_4304,GEN24_1513,GEN24_2638,GEN24_1845,GEN24_1358,GEN24_2705,GEN24_2306,GEN24_1901,GEN24_2276,GEN24_3223,GEN24_3710,GEN24_3501,GEN24_2881,GEN24_1278,GEN24_1503,GEN24_2615,GEN24_2324,GEN24_1511,GEN24_2440,GEN24_2617,GEN24_2910,GEN24_3617,GEN24_2352,GEN24_3011,GEN24_1766,GEN24_4204,GEN24_3232,GEN24_2618,GEN24_2217,GEN24_1801,GEN24_1280
Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes
WOH HUP COMPLEX,SYNERGY @ KB,nan,111 SOMERSET,BENDEMEER VILLE,nan,nan,nan,SUNTEC TOWER ONE,THE CO BUILDING,FORTUNE CTR,THE RIVERVALE,COSTA RIS,INTERNATIONAL PLAZA,nan,KING GEORGE'S BUILDING,nan,TAMPINES INDUSTRIAL PARK A,nan,SUPREME HSE,38 AMBER,INTERNATIONAL PLAZA,WATERWAY TERRACES I,CITY HOUSE,ARK@GAMBAS,nan,nan,nan,CAPITAL TOWER,nan,AQUARIUS BY THE PARK,HONG AIK INDUSTRIAL BUILDING,PAN-I COMPLEX,THE MAYFAIR,FAR EAST PLAZA,nan,nan,SELEGIE CPLX,TECH PLACE II,GOLDEN MILE COMPLEX,GOLDEN MILE TOWER,MULTI STOREY CAR PARK,HARBOURFRONT TOWER ONE,KEPPEL DISTRIPARK,SERANGOON GARDEN,THE CURIE,nan,THOMSON PLAZA,WHEELOCK PLACE,nan
SHENTON WAY,JURONG WEST STREET 93,HOUGANG AVENUE 3,KAKI BUKIT ROAD 3,WOODLANDS CENTRE ROAD,TEMASEK AVENUE,CUPPAGE ROAD,ANG MO KIO INDUSTRIAL PARK 2A,SEGAR ROAD,JALAN PEMIMPIN,WOODLANDS STREET 31,ANG MO KIO INDUSTRIAL PARK 1,TELOK BLANGAH CRESCENT,MAUDE ROAD,ALBERT STREET,QUEEN STREET,JURONG WEST STREET 64,ST. GEORGE'S ROAD,ORCHARD ROAD,RIVERVALE DRIVE,BURN ROAD,MAXWELL ROAD,CARPENTER STREET,BUKIT BATOK CRESCENT,GRANGE ROAD,BENDEMEER ROAD,PANDAN LOOP,UPPER PAYA LEBAR ROAD,YUK TONG AVENUE,RAFFLES QUAY,ALEXANDRA ROAD,EAST COAST ROAD,GEYLANG ROAD,SERANGOON NORTH AVENUE 1,MOH GUAN TERRACE,MARINA BOULEVARD,BEACH ROAD,KAKI BUKIT AVENUE 1,TANJONG KATONG ROAD,SOON LEE STREET,TANJONG PAGAR ROAD,MARIAM WAY,CHOA CHU KANG LOOP,HARPER ROAD,BUKIT BATOK EAST AVENUE 5,ROSE LANE,PASIR PANJANG ROAD,MARTIN PLACE,JURONG WEST STREET 61,GEYLANG ROAD
